station,known_group,date,temp_c,precip_mm
Bangkok,Tropical,2001-03-01,28.45,135.16
Bangkok,Tropical,2001-04-01,29.93,31.2
Bangkok,Tropical,2001-05-01,28.62,189.1
Bangkok,Tropical,2001-06-01,28.01,103.8
Bangkok,Tropical,2001-07-01,28.39,94.86
Bangkok,Tropical,2001-08-01,27.6,142.29
Bangkok,Tropical,2001-09-01,27.88,203.1
Bangkok,Tropical,2001-10-01,27.29,261.95
Bangkok,Tropical,2001-11-01,23.73,26.4
Bangkok,Tropical,2001-12-01,25.25,4.96
Bangkok,Tropical,2002-01-01,26.37,3.1
Bangkok,Tropical,2002-02-01,29.52,10.36
Bangkok,Tropical,2002-03-01,29.49,49.6
Bangkok,Tropical,2002-04-01,31.13,61.2
Bangkok,Tropical,2002-05-01,28.38,207.7
Bangkok,Tropical,2002-06-01,27.95,141.3
Bangkok,Tropical,2002-07-01,28.18,112.53
Bangkok,Tropical,2002-08-01,27.39,155.93
Bangkok,Tropical,2002-09-01,26.99,243.9
Bangkok,Tropical,2002-10-01,26.62,144.15
Bangkok,Tropical,2002-11-01,25.83,79.2
Bangkok,Tropical,2002-12-01,25.91,30.07
Bangkok,Tropical,2003-01-01,25.61,0.0
Bangkok,Tropical,2003-02-01,29.33,15.12
Bangkok,Tropical,2003-03-01,29.22,120.59
Bangkok,Tropical,2003-04-01,30.82,41.7
Bangkok,Tropical,2003-05-01,29.55,150.97
Bangkok,Tropical,2003-06-01,28.33,207.6
Bangkok,Tropical,2003-07-01,27.4,209.87
Bangkok,Tropical,2003-08-01,27.5,172.67
Bangkok,Tropical,2003-09-01,26.78,269.1
Bangkok,Tropical,2003-10-01,26.63,163.68
Bangkok,Tropical,2003-11-01,26.14,0.0
Bangkok,Tropical,2003-12-01,24.11,0.0
Bangkok,Tropical,2004-01-01,26.36,29.14
Bangkok,Tropical,2004-02-01,27.14,39.15
Bangkok,Tropical,2004-03-01,31.08,6.82
Bangkok,Tropical,2004-04-01,32.47,47.1
Bangkok,Tropical,2004-05-01,29.35,127.72
Bangkok,Tropical,2004-06-01,28.25,153.3
Bangkok,Tropical,2004-07-01,28.14,182.9
Bangkok,Tropical,2004-08-01,27.53,171.12
Bangkok,Tropical,2004-09-01,27.23,229.5
Bangkok,Tropical,2004-10-01,26.73,73.78
Bangkok,Tropical,2004-11-01,27.3,8.1
Bangkok,Tropical,2004-12-01,26.07,0.0
Bangkok,Tropical,2005-01-01,26.85,14.88
Bangkok,Tropical,2005-02-01,29.92,1.4
Bangkok,Tropical,2005-03-01,29.92,36.89
Bangkok,Tropical,2005-04-01,29.97,112.5
Bangkok,Tropical,2005-05-01,29.67,163.68
Bangkok,Tropical,2005-06-01,28.21,140.1
Bangkok,Tropical,2005-07-01,27.87,132.68
Bangkok,Tropical,2005-08-01,27.83,129.89
Bangkok,Tropical,2005-09-01,27.01,367.5
Bangkok,Tropical,2005-10-01,27.08,166.16
Bangkok,Tropical,2005-11-01,25.69,86.4
Bangkok,Tropical,2005-12-01,23.33,21.08
Bangkok,Tropical,2006-01-01,25.49,1.24
Bangkok,Tropical,2006-02-01,29.08,26.6
Bangkok,Tropical,2006-03-01,30.19,67.27
Bangkok,Tropical,2006-04-01,29.27,107.1
Bangkok,Tropical,2006-05-01,28.23,194.68
Bangkok,Tropical,2006-06-01,28.09,165.3
Bangkok,Tropical,2006-07-01,27.37,131.44
Bangkok,Tropical,2006-08-01,27.38,101.06
Bangkok,Tropical,2006-09-01,27.38,285.9
Bangkok,Tropical,2006-10-01,26.97,203.36
Bangkok,Tropical,2006-11-01,26.66,22.8
Bangkok,Tropical,2006-12-01,25.09,2.17
Bangkok,Tropical,2007-01-01,26.69,5.89
Bangkok,Tropical,2007-02-01,28.46,3.08
Bangkok,Tropical,2007-03-01,30.94,14.88
Bangkok,Tropical,2007-04-01,30.33,128.7
Bangkok,Tropical,2007-05-01,27.84,282.72
Bangkok,Tropical,2007-06-01,28.22,170.1
Bangkok,Tropical,2007-07-01,27.55,173.6
Bangkok,Tropical,2007-08-01,27.61,111.91
Bangkok,Tropical,2007-09-01,27.31,225.3
Bangkok,Tropical,2007-10-01,26.19,160.58
Bangkok,Tropical,2007-11-01,23.87,11.4
Bangkok,Tropical,2007-12-01,26.31,1.24
Bangkok,Tropical,2008-01-01,27.02,10.23
Bangkok,Tropical,2008-02-01,28.09,30.16
Bangkok,Tropical,2008-03-01,30.46,12.71
Bangkok,Tropical,2008-04-01,30.3,111.9
Bangkok,Tropical,2008-05-01,28.62,194.37
Bangkok,Tropical,2008-06-01,28.08,138.6
Bangkok,Tropical,2008-07-01,27.46,168.64
Bangkok,Tropical,2008-08-01,27.43,159.65
Bangkok,Tropical,2008-09-01,26.8,298.2
Bangkok,Tropical,2008-10-01,27.31,225.37
Bangkok,Tropical,2008-11-01,24.2,44.4
Bangkok,Tropical,2008-12-01,22.74,0.0
Bangkok,Tropical,2009-01-01,23.65,0.0
Bangkok,Tropical,2009-02-01,29.46,2.52
Bangkok,Tropical,2009-03-01,30.02,55.18
Bangkok,Tropical,2009-04-01,30.06,141.6
Bangkok,Tropical,2009-05-01,28.44,237.46
Bangkok,Tropical,2009-06-01,27.74,157.2
Bangkok,Tropical,2009-07-01,27.2,159.34
Bangkok,Tropical,2009-08-01,28.03,193.13
Bangkok,Tropical,2009-09-01,27.26,258.0
Bangkok,Tropical,2009-10-01,27.05,216.38
Bangkok,Tropical,2009-11-01,24.9,20.1
Bangkok,Tropical,2009-12-01,25.75,2.79
Bangkok,Tropical,2010-01-01,27.08,48.05
Bangkok,Tropical,2010-02-01,29.81,10.64
Bangkok,Tropical,2010-03-01,31.15,13.02
Bangkok,Tropical,2010-04-01,32.35,42.6
Bangkok,Tropical,2010-05-01,30.35,137.33
Bangkok,Tropical,2010-06-01,28.88,178.8
Bangkok,Tropical,2010-07-01,27.82,177.01
Bangkok,Tropical,2010-08-01,27.12,311.86
Bangkok,Tropical,2010-09-01,27.05,282.6
Bangkok,Tropical,2010-10-01,26.08,246.76
Bangkok,Tropical,2010-11-01,24.96,9.9
Bangkok,Tropical,2010-12-01,24.79,20.15
Bangkok,Tropical,2011-01-01,24.93,0.31
Bangkok,Tropical,2011-02-01,28.64,21.0
Bangkok,Tropical,2011-03-01,27.06,113.77
Bangkok,Tropical,2011-04-01,28.81,125.7
Bangkok,Tropical,2011-05-01,28.36,186.93
Bangkok,Tropical,2011-06-01,27.57,169.8
Bangkok,Tropical,2011-07-01,27.21,204.29
Bangkok,Tropical,2011-08-01,27.28,256.37
Bangkok,Tropical,2011-09-01,26.46,286.2
Bangkok,Tropical,2011-10-01,26.43,225.06
Bangkok,Tropical,2011-11-01,25.86,1.5
Bangkok,Tropical,2011-12-01,23.72,0.31
Bangkok,Tropical,2012-01-01,27.02,22.63
Bangkok,Tropical,2012-02-01,29.57,19.14
Bangkok,Tropical,2012-03-01,30.74,25.42
